id,title,category,domain,module,page,url,role,severity,priority,riskScore,likelihood,techImpact,bizImpact,userImpact,status,description,expectedBehavior,actualBehavior,reproduction,recommendation,workaround,suggestedOwner,estimatedEffort,targetSprint
"UX-002","Language toggle on the login page is non-functional (dead button)","UX","UX","Auth","Login","/login","Unauthenticated / all","High","P2","20","5","2","4","4","confirmed","The login page renders what looks like a working EN/Arabic toggle in the top bar, but the ""العربية"" element is a `<button>` with no `onClick` handler at all, and ""EN"" is a plain `<span>`, not an interactive control. Every other authenticated page in the app has a working language toggle (header.tsx uses `setPreferredLanguage`), so this looks like an oversight specific to the pre-login screen.","Clicking ""العربية"" switches the login page (and ideally the whole pre-auth flow) to Arabic/RTL, consistent with the working toggle used everywhere post-login.","Clicking the ""العربية"" button does nothing; there is no state, no dir change, and no visual feedback of any kind.","1. Visit /login while signed out. 2. Click ""العربية"" in the top-right corner. 3. Nothing happens — page stays in English/LTR.","Wire the login-page toggle to the same `Lang`/dir-switching mechanism used in DashboardShell, or at minimum route users to a `?lang=ar` variant of the login form with translated copy.","Users can complete login in English and switch language after signing in.","Frontend","S","Next"
"API-003","Custom /api/auth/login is a brute-force oracle (no rate limit, no Zod)","Broken Authentication / Missing Rate Limiting","API","REST API - auth login","/api/auth/login","/api/auth/login","anonymous","High","P1","16","4","3","4","4","confirmed","apps/web/app/api/auth/login/route.ts performs a raw bcrypt password comparison and returns the user's id/email/role/tenantId. It only checks that email and password are present (no Zod, no email-format or length bounds). The middleware rate limiter and per-account lockout are keyed on /api/auth/callback/credentials (the NextAuth path); this custom /api/auth/login route is NOT in middleware.matcher, so it has no rate limiting and no account lockout - a standalone unthrottled password-checking oracle.","All credential-verification endpoints should be rate limited per IP/account, enforce account lockout, and validate input. Ideally there should be a single authentication path (NextAuth).","Attackers can brute-force passwords against /api/auth/login at full speed with no throttling or lockout; generic error text is good but the endpoint still confirms valid credentials and returns role/tenantId.","Loop POST /api/auth/login with a fixed email and a password list; observe no 429 throttling and no lockout after many attempts.","Either remove this route in favour of NextAuth, or add it to middleware.matcher with the login rate-limit bucket, wire it to the same per-account lockout used in authorize(), and validate the body with a Zod schema (emailSchema + bounded password).","Add /api/auth/login to middleware.matcher and reuse the login:<ip> rate-limit key.","Auth team","S","immediate"
"API-004","employee.getById / employee.list over-select salary + PII and lack object-level scoping","Excessive Data Exposure / IDOR","API","tRPC - employee router","employee.getById, employee.list","trpc/employee.getById","department_manager, recruiter","High","P1","16","4","3","4","4","confirmed","employee.getById and employee.list run on companyProcedure, which only excludes the employee and candidate roles - recruiter and department_manager are admitted. Both return the whole employees row (no column projection), including plaintext salaryBasic/salaryHousing/salaryTransport and the *_enc PII columns (iqamaNumberEnc, passportNumberEnc, bankIbanEnc). Unlike employee.list (which department-scopes a department_manager), employee.getById performs NO department scoping, so a department_manager or recruiter can fetch ANY employee's full record - including salary - by iterating UUIDs. This overlaps RBAC-004 (recruiter/department_manager must not see salary) but is reported here as a data-layer over-selection + missing object-level authorization issue.","Reads should project only the columns the caller is entitled to (salary and *_enc PII stripped for recruiter/department_manager) and getById should enforce the same department scoping as list.","getById returns the entire employee row (salary + encrypted PII + payslips relation) to any company role with no department scoping; a recruiter sees salary they are explicitly not permitted to see.","As a recruiter or department_manager, call trpc employee.getById with any employee UUID -> response includes salaryBasic/salaryHousing/salaryTransport and *_enc columns; the target need not be in the manager's department.","Add a column allowlist (Drizzle columns projection) that strips salary and *_enc fields for non-payroll roles, and apply getManagedDepartmentIds scoping to employee.getById as is already done in employee.list. Coordinate with the RBAC owner (RBAC-004).","Restrict getById/list to the salary-authorized roles until per-column projection is added.","Backend/API team + RBAC owner","M","next"
"AUTH-002","Orphan POST /api/auth/login is an unthrottled password-verification oracle (no rate limit, no lockout, no MFA)","Broken Authentication / Brute Force","AUTH","apps/web/app/api/auth/login","/api/auth/login","/api/auth/login","anonymous","High(P1)","P1","16","4","4","4","4","confirmed","A second, custom credentials endpoint exists alongside the NextAuth flow. It validates the password with bcrypt but is NOT in the middleware matcher (so the 5/min login rate limit never applies), does NOT consult or increment the durable account-lockout state, and does NOT enforce MFA. It therefore permits unlimited online password guessing against real accounts and, on success, discloses the account role and tenantId. The frontend uses signIn()/callback/credentials instead, so this route is unreferenced dead code that still serves live traffic.","All credential-checking endpoints must share the same brute-force controls (IP rate limit + durable per-account lockout + MFA gate) as the NextAuth authorize() path, or not exist.","The route calls bcrypt compare and returns 200/401 with no throttling, no lockout accounting, and no MFA. It is missing from middleware.ts matcher entirely.","Loop POST /api/auth/login with {email, password} candidates - no 429 and no account lockout is ever triggered; a 200 confirms a valid credential pair and reveals role/tenantId.","Delete this route (the app authenticates via NextAuth). If a JSON login API is genuinely needed, route it through the same lockout + rate-limit + MFA logic and add it to the middleware matcher.","Add /api/auth/login to the middleware matcher with the login rate limit, or block it at the edge.","Backend/Auth","S (1-2h)","immediate"
"BIZ-007","Monthly leave accrual compounds: year-to-date days are added to the existing balance on every run","Calculation correctness / idempotency","BIZ","leave (accrual engine)","cron/accrual + leave.balance.runAccrual","packages/leave calculateAccrual / runMonthlyAccrual","system (cron) / hr_manager","High","P1","16","4","3","4","2","suspected","calculateAccrual computes daysAccrued = (daysAllowed/12) * monthsElapsed, where monthsElapsed = min(12, currentMonth+1) is the YEAR-TO-DATE month count, then sets newBalance = previousBalance + daysAccrued. Because the YTD figure is ADDED to the already-accrued balance every time the job runs, running the monthly cron each month compounds the balance to daysAllowed * (1+2+...+12)/12 = daysAllowed * 6.5 by December (e.g. 21 days -> ~136 days). Correct only if run exactly once per year.","A monthly accrual run should add one month's entitlement (daysAllowed/12) to the balance, and be idempotent per month (no double-credit if re-run).","It adds the YTD accrual to the prior balance, so periodic runs over-accrue geometrically.","Seed balance 0. Run runMonthlyAccrual in Feb (monthsElapsed=2) -> balance = daysAllowed*2/12. Run again in Mar (monthsElapsed=3) -> balance = prev + daysAllowed*3/12. Balance grows by the YTD amount each month.","Make the monthly path grant exactly one month (daysAccrued = monthlyAccrual) and add idempotency keyed to (employee, leaveType, year, month) so a re-run in the same month is a no-op; add unit tests asserting balance == entitlement after 12 monthly runs.","Run the accrual job at most once per year until fixed; verify balances manually.","Backend / Leave squad","M (1-2 days incl. tests)","next"
"DB-004","iqama unique index and performance indexes are one-time backfills, not part of provisioning — new tenants can store duplicate national IDs and run unindexed","Data Integrity / Indexing","DB","packages/db migrations 0006/0009 + tenant-manager","N/A","N/A","system / hr_manager","High","P1","16","4","4","4","3","confirmed","The partial unique index employees_iqama_unique (0009) and all hot-path indexes (0006) are applied by one-time DO-loops over existing schemas. generateTenantDDL creates employees.iqama_number_enc as plain TEXT with no unique index and none of the perf indexes. New tenants therefore lack DB-level duplicate-iqama protection and lack indexes on notifications, employees, leave_*, documents, payroll, payslips, expenses, final_settlements, compliance_checks, departments, attendance.","Provisioning should create the iqama partial unique index and the standard performance indexes for every tenant.","Only tenants existing when 0006/0009 ran have them; new tenants have neither.","Provision a new tenant; \di shows no employees_iqama_unique and no perf indexes. Insert two employees with the same iqama via raw SQL -> both succeed.","Fold all indexes (incl. the iqama partial unique index) into the authoritative provisioning DDL (DB-001). Keep 0006/0009 as legacy backfills.","Replay 0006 and 0009 DO-blocks after each tenant creation.","Backend / DB platform","S (0.5-1 day)","Immediate"
"QA-001","employees table has zero explicit indexes despite being filtered by departmentId/employmentStatus/managerEmployeeId on nearly every query","Performance","QA","Database schema / Employees","Employees list, Departments, Attendance, Leave, Payroll (any screen scoped by employee/department)","/employees","all","High","P2","16","4","4","3","3","confirmed","packages/db/src/schema/tenant/employees.ts defines the employees table with no index()/uniqueIndex() calls at all. This table is the most heavily filtered/joined table in the app: employee.ts filters on departmentId and employmentStatus and sorts by fullName/hireDate/createdAt (apps/web/trpc/routers/employee.ts:18-37); attendance.ts filters employees by departmentId (line 459) and joins via managerEmployeeId for org-tree walks; leave.ts filters active employees by employmentStatus (line 337); departments.ts joins on headEmployeeId. Postgres does not auto-index foreign-key columns (unlike the primary key), so every one of these WHERE/JOIN clauses does a sequential scan once tenant employee counts grow past a few hundred rows. Only 7 of 33 schema files (packages/db/src/schema/**) define any explicit index at all; employees.ts and leave_requests.ts, expenses.ts, documents.ts, payroll_runs.ts, payslips.ts, notifications.ts are all in the no-index list.","Foreign-key / frequently-filtered columns (departmentId, employmentStatus, managerEmployeeId) should have explicit btree indexes so list/report queries scale with tenant size.","No index definitions exist on the employees table or on most other tenant tables that are filtered by employeeId/departmentId in routers.","Static evidence only — grep packages/db/src/schema for `index(`: only attendance.ts, shift-related and 6 other files define indexes; employees.ts, leave_requests.ts, expenses.ts, documents.ts, payroll_runs.ts, payslips.ts, notifications.ts have none.","Add btree indexes on employees.departmentId, employees.employmentStatus, employees.managerEmployeeId, and the employeeId foreign key on leave_requests/expenses/documents/payslips/notifications; regenerate a Drizzle migration (pnpm db:generate) rather than hand-editing SQL.","None at scale currently deployed (demo tenant is small so this is not yet visible in production).","database-optimizer / backend","S (1 migration + review)","Next"
"QA-008","Tenant-isolation regression tests are mostly skipped, not executing","Test Coverage","QA","Multi-tenancy / DB isolation","n/a","n/a","all","High","P2","16","3","4","4","3","confirmed","The vitest run shows packages/db/src/__tests__/tenant-isolation.test.ts as ""4 tests | 3 skipped"" and packages/db/src/__tests__/tenant-manager.test.ts as ""5 tests | 4 skipped"" — i.e. the majority of the tests specifically named for verifying cross-tenant data isolation are not actually executing in the current run (likely gated behind a live-DB precondition, consistent with the known-broken local DATABASE_URL noted in project memory).","Tenant-isolation tests are the most important regression guard in a multi-tenant SaaS (a prior RBAC audit already scored this area 90/100 after remediation) and should run on every CI build, not be silently skipped.","7 of 9 combined tests across the two tenant-isolation-related suites are skipped in this run.","cd hrms-app && pnpm test — observe the skipped counts in the summary line for these two files.","Confirm whether CI provisions a real DATABASE_URL so these suites run un-skipped there; if the skip is environment-conditional, add a CI-only Postgres service (e.g. via GitHub Actions services:) so tenant isolation is verified on every PR, not just locally when a DB happens to be available.","Tests exist and presumably pass when a DB is available; this is a coverage-execution gap, not a missing-test gap.","qa-expert / devops-engineer","S (CI config) ","Next"
"BIZ-002","Expense markPaid is authorised by companyProcedure, letting non-finance roles pay out expenses","Authorization / segregation of duties","BIZ","expense","/modules/travel-expenses","expense.markPaid","recruiter, department_manager, hr_specialist, payroll_admin","High","P1","15","3","3","5","1","confirmed","The markPaid mutation is documented as 'Only HR / super_admin can do this' but is guarded by companyProcedure, which only excludes the 'employee' and 'candidate' roles. Every other role, including recruiter (who has no finance function), can mark any approved expense as paid. There is no expenses:pay capability check. Combined with BIZ-001, a single department_manager can submit, approve, and pay one expense end-to-end.","Only a payroll/finance capability holder (e.g. payroll_admin, hr_manager, super_admin) should close out an expense as paid, and the payer should differ from the approver/submitter.","companyProcedure permits department_manager, hr_specialist, payroll_admin and recruiter; the code comment does not match the guard.","As a recruiter, call expense.markPaid { id } for any approved expense. It succeeds and sets status='paid'.","Replace companyProcedure with requireCapability of a new 'expenses:pay' (grant only to payroll_admin/hr_manager/super_admin), and add a payer != approver != submitter check. Write an audit record on payout.","Temporarily switch markPaid to requireRole('super_admin','hr_manager','payroll_admin').","Backend / Payroll squad","S (0.5 day)","next"
"BIZ-008","Duplicate final settlement / EOSB: no uniqueness or status guard on settlement creation","Duplicate submission / idempotency","BIZ","settlement","/settlement","settlement.create + settlement.offboarding.initiate","super_admin, hr_manager","High","P1","15","3","3","5","1","suspected","settlement.create inserts a new final_settlements row on every call with no check for an existing settlement for the same employee, and the table has no unique constraint or 'status/paid' field. offboarding.initiate also inserts an independent final_settlements row. The same employee can therefore have multiple EOSB records, each a candidate for payout, with no idempotency or 'already settled' guard.","An employee should have at most one active final settlement; a repeat attempt should update the existing record or be rejected, and a settled/paid record must be immutable.","Every create/initiate call inserts a fresh row; nothing prevents duplicates.","Call settlement.create for employee X twice (or create then offboarding.initiate). Two final_settlements rows exist for X, each with an EOSB amount.","Add a unique/active constraint on employeeId (or a settlement status), check for an existing settlement before insert, and make a paid settlement immutable. Consolidate offboarding.initiate to reuse/upsert the same row.","HR procedure to check for an existing settlement before creating one.","Backend / Payroll squad","M (1 day incl. migration)","next"
"PRIV-003","Real production Supabase DB connection string (with password) stored in cleartext file in repo working tree","secret-hygiene","PRIV","repo root","N/A","N/A","N/A","High","Critical","15","3","5","5","5","confirmed","_db_url.txt at the repo root contains a live Supabase pooler connection string including the database password and the tenant search_path (rukn_energy_services). The file is listed in .gitignore (so it is not committed to git history that was checked), but it sits in the developer working tree in plaintext, is trivially shared via backups/zips/screen-shares, and grants direct SQL access to production PII (iqama, IBAN, salary). A credential of this sensitivity must not live in a loose text file.","Production DB credentials live only in a secret manager / Vercel env vars, never in a working-tree file.","Full production connection string with password is readable from _db_url.txt.","Open _db_url.txt at repo root; the password is present in cleartext.","Rotate the Supabase database password immediately, delete _db_url.txt from disk, and confirm it never entered git history (git log --all -- _db_url.txt). Store the URL only in the secret manager.","Delete the file now; rotate the credential regardless.","Security/DevOps","S","current"
